conversietabellen van types IRtc									
T[degC]	K-98.6	K-50	K-80	K-140	K-180	K-240	K-280	K-340	K-440
412.7777778	64.48663522	76.68434412	69.16472205	52.89262556	46.99929609	42.04431783	35.20642525	31.27521048	26.25362903
415.5555556	65.2842945	77.63526639	70.02116102	53.54460726	47.57722869	42.55999162	35.6361816	31.6555715	26.57089439
418.3333333	66.08585812	78.5908432	70.88179205	54.19978025	48.15799013	43.07818951	36.0680415	32.03779431	26.88971269
421.1111111	66.89129664	79.55103944	71.74658353	54.85812046	48.74155907	43.59889246	36.50198909	32.42186485	27.21007221
423.8888889	67.70058061	80.51581998	72.61550382	55.51960382	49.32791417	44.12208143	36.9380085	32.80776907	27.53196123
426.6666667	68.51368051	81.48514966	73.48852124	56.1842062	49.91703406	44.64773733	37.37608383	33.1954929	27.85536803
429.4444444	69.33056684	82.45899328	74.36560411	56.85190349	50.50889734	45.1758411	37.81619917	33.58502229	28.18028086
432.2222222	70.15121005	83.43731565	75.2467207	57.52267154	51.10348262	45.70637363	38.25833862	33.97634312	28.50668798
435	70.9755806	84.42008153	76.13183931	58.1964862	51.7007685	46.23931583	38.70248626	34.36944133	28.83457762
437.7777778	71.80364894	85.40725569	77.02092819	58.87332331	52.30073355	46.77464859	39.14862615	34.76430281	29.16393805
440.5555556	72.6353855	86.39880289	77.91395561	59.55315871	52.90335636	47.31235279	39.59674239	35.16091348	29.49475749
443.3333333	73.47076073	87.3946879	78.81088984	60.23596825	53.50861551	47.85240934	40.04681903	35.55925923	29.8270242
446.1111111	74.30974509	88.39487549	79.71169914	60.92172777	54.11648961	48.39479912	40.49884017	35.95932598	30.16072642
448.8888889	75.15230902	89.39933044	80.61635181	61.61041313	54.72695723	48.93950305	40.95278989	36.36109963	30.4958524
451.6666667	75.998423	90.40801756	81.52481612	62.30200019	55.33999699	49.48650202	41.40865227	36.76456612	30.8323904
454.4444444	76.84805753	91.42090165	82.43706041	62.99646483	55.95558752	50.03577697	41.86641142	37.16971137	31.17032868
457.2222222	77.70118311	92.43794758	83.35305301	63.69378295	56.57370744	50.58730883	42.32605146	37.57652131	31.50965551
460	78.55777028	93.45912022	84.2727623	64.39393046	57.1943354	51.14107855	42.7875565	37.9849819	31.85035917
462.7777778	79.41778962	94.48438447	85.19615666	65.09688332	57.81745009	51.69706711	43.2509107	38.39507911	32.19242796
465.5555556	80.28121172	95.5137053	86.12320453	65.80261749	58.4430302	52.2552555	43.71609821	38.80679891	32.53585018
468.3333333	81.14800722	96.5470477	87.05387439	66.51110897	59.07105446	52.81562474	44.18310321	39.2201273	32.88061416
471.1111111	82.0181468	97.5843767	87.98813475	67.2223338	59.70150162	53.37815587	44.65190991	39.63505031	33.22670823
473.8888889	82.89160117	98.62565742	88.92595418	67.93626803	60.33435048	53.94282997	45.12250252	40.05155397	33.57412074
476.6666667	83.76834111	99.67085499	89.86730128	68.65288779	60.96957984	54.50962812	45.59486531	40.46962433	33.92284008
479.4444444	84.64833743	100.7199346	90.81214473	69.37216921	61.60716857	55.07853148	46.06898254	40.88924749	34.27285462
482.2222222	85.531561	101.7728616	91.76045326	70.09408848	62.24709555	55.6495212	46.54483853	41.31040956	34.62415279
485	86.41798276	102.8296013	92.71219563	70.81862185	62.88933973	56.2225785	47.0224176	41.73309666	34.97672302
487.7777778	87.30757367	103.890119	93.66734071	71.54574559	63.53388009	56.7976846	47.50170413	42.15729497	35.33055377
490.5555556	88.2003048	104.9543803	94.6258574	72.27543604	64.18069564	57.37482081	47.98268252	42.58299068	35.68563353
493.3333333	89.09614726	106.0223508	95.58771469	73.00766959	64.82976545	57.95396843	48.4653372	43.01017002	36.0419508
496.1111111	89.99507221	107.093996	96.55288163	73.74242269	65.48106865	58.53510884	48.94965265	43.43881923	36.39949413
498.8888889	90.89705092	108.1692818	97.52132736	74.47967182	66.1345844	59.11822346	49.43561337	43.86892461	36.75825207
501.6666667	91.80205471	109.2481738	98.49302108	75.21939356	66.79029193	59.70329373	49.92320392	44.3004725	37.11821322
504.4444444	92.71005496	110.3306381	99.46793209	75.96156452	67.4481705	60.29030118	50.41240889	44.73344924	37.4793662
507.2222222	93.62102317	111.4166406	100.4460298	76.70616139	68.10819947	60.87922736	50.9032129	45.16784123	37.84169967
510	94.53493088	112.5061474	101.4272835	77.45316091	68.77035821	61.47005388	51.39560064	45.60363492	38.20520232
512.7777778	95.45174974	113.5991247	102.411663	78.20253992	69.43462617	62.06276241	51.88955681	46.04081678	38.56986286
515.5555556	96.37145146	114.6955387	103.3991377	78.95427528	70.10098287	62.65733466	52.38506619	46.47937332	38.93567004
518.3333333	97.29400785	115.795356	104.3896775	79.70834397	70.76940789	63.25375241	52.88211359	46.9192911	39.30261266
521.1111111	98.21939081	116.8985429	105.3832522	80.46472301	71.43988086	63.8519975	53.38068387	47.36055672	39.67067954
523.8888889	99.14757234	118.0050661	106.3798316	81.22338951	72.11238149	64.45205181	53.88076194	47.80315683	40.03985953
